"split","row_id","positive_grade"
"train",1,0
"train",2,1
"train",3,0
"train",4,1
"train",5,1
"train",8,0
"train",9,1
"train",10,1
"train",11,1
"train",12,1
"train",14,1
"train",15,1
"train",16,1
"train",17,1
"train",19,1
"train",20,1
"train",21,0
"train",22,1
"train",23,1
"train",24,1
"train",25,1
"train",26,1
"train",28,1
"train",29,1
"train",31,1
"train",32,1
"train",33,1
"train",34,1
"train",36,1
"train",37,0
"train",38,1
"train",39,1
"train",40,1
"train",41,1
"train",42,1
"train",43,1
"train",44,1
"train",45,0
"train",46,1
"train",47,1
"train",48,1
"train",49,1
"train",50,1
"train",51,1
"train",52,1
"train",53,1
"train",54,1
"train",55,1
"train",57,0
"train",58,1
"train",59,1
"train",60,0
"train",61,1
"train",62,1
"train",63,0
"train",64,1
"train",65,0
"train",66,1
"train",67,0
"train",68,1
"train",69,1
"train",71,0
"train",72,1
"train",75,1
"train",77,1
"train",80,1
"train",81,1
"train",83,1
"train",84,1
"train",85,1
"train",86,1
"train",87,1
"train",88,1
"train",90,1
"train",92,1
"train",96,1
"train",97,1
"train",98,1
"train",100,1
"train",101,1
"train",102,0
"train",103,0
"train",104,1
"train",105,0
"train",106,1
"train",107,0
"train",108,1
"train",110,1
"train",111,1
"train",112,1
"train",113,1
"train",114,1
"train",115,1
"train",116,1
"train",117,1
"train",120,1
"train",121,1
"train",122,1
"train",123,0
"train",124,1
"train",125,1
"train",127,1
"train",128,1
"train",129,1
"train",130,1
"train",131,1
"train",132,1
"train",133,1
"train",135,1
"train",136,1
"train",137,1
"train",138,1
"train",140,1
"train",141,1
"train",142,1
"train",143,0
"train",145,1
"train",146,1
"train",147,0
"train",148,1
"train",150,1
"train",157,1
"train",158,1
"train",159,1
"train",160,1
"train",163,1
"train",164,1
"train",165,1
"train",166,1
"train",168,1
"train",169,1
"train",170,1
"train",171,1
"train",172,1
"train",173,1
"train",174,1
"train",175,1
"train",177,1
"train",178,1
"train",179,1
"train",181,1
"train",182,1
"train",183,1
"train",185,0
"train",186,1
"train",187,1
"train",188,1
"train",189,1
"train",191,1
"train",192,1
"train",193,0
"train",194,0
"train",195,1
"train",197,1
"train",198,0
"train",199,1
"train",200,1
"train",201,1
"train",202,1
"train",203,1
"train",204,1
"train",205,1
"train",206,1
"train",207,1
"train",208,1
"train",209,1
"train",210,1
"train",211,1
"train",212,1
"train",213,1
"train",214,0
"train",215,1
"train",216,1
"train",219,1
"train",220,1
"train",222,1
"train",223,1
"train",224,1
"train",225,1
"train",226,1
"train",227,1
"train",228,1
"train",231,1
"train",232,0
"train",233,1
"train",234,1
"train",235,1
"train",236,1
"train",237,1
"train",238,1
"train",239,1
"train",240,1
"train",241,1
"train",243,1
"train",244,0
"train",246,1
"train",247,1
"train",248,1
"train",250,1
"train",252,1
"train",253,1
"train",255,1
"train",256,1
"train",257,1
"train",258,1
"train",260,1
"train",261,1
"train",262,0
"train",263,1
"train",264,1
"train",265,1
"train",266,1
"train",267,1
"train",268,1
"train",269,1
"train",270,1
"train",271,1
"train",272,1
"train",273,1
"train",274,1
"train",275,1
"train",276,1
"train",277,1
"train",278,1
"train",279,1
"train",280,1
"train",281,1
"train",282,1
"train",283,1
"train",284,1
"train",285,1
"train",286,1
"train",288,1
"train",289,1
"train",290,1
"train",291,1
"train",292,1
"train",293,1
"train",294,1
"train",295,1
"train",296,1
"train",298,1
"train",299,1
"train",302,1
"train",303,1
"train",304,1
"train",305,0
"train",306,1
"train",308,1
"train",310,1
"train",312,1
"train",314,1
"train",316,1
"train",317,1
"train",318,1
"train",320,1
"train",321,0
"train",323,1
"train",324,1
"train",325,1
"train",327,1
"train",328,1
"train",329,1
"train",330,1
"train",331,1
"train",332,0
"train",333,1
"train",335,1
"train",336,1
"train",337,1
"train",338,1
"train",339,1
"train",340,1
"train",341,1
"train",342,0
"train",343,1
"train",344,1
"train",345,1
"train",346,1
"train",348,1
"train",349,1
"train",350,1
"train",351,1
"train",353,0
"train",354,1
"train",355,1
"train",356,1
"train",357,1
"train",358,0
"train",359,0
"train",360,0
"train",361,1
"train",362,1
"train",363,1
"train",364,1
"train",365,1
"train",368,1
"train",369,1
"train",370,1
"train",372,1
"train",373,1
"train",374,1
"train",376,1
"train",377,0
"train",378,1
"train",379,1
"train",380,1
"train",382,1
"train",383,1
"train",384,1
"train",385,1
"train",388,1
"train",389,1
"train",391,1
"train",392,1
"train",393,1
"train",394,1
"train",395,1
"train",396,1
"train",397,1
"train",398,1
"train",399,1
"train",400,1
"train",401,1
"train",402,1
"train",403,1
"train",404,1
"train",405,1
"train",406,0
"train",407,1
"train",408,1
"train",409,1
"train",410,0
"train",412,1
"train",413,1
"train",414,1
"train",418,1
"train",419,1
"train",420,0
